"1. 医師：今日はどんな症状でお越しですか？
2. 患者：1週間くらい前から熱があって、喉がすごく痛いんです。
3. 医師：熱はどのくらいありますか？
4. 患者：たぶん39度を少し超えていると思います。
5. 医師：喉の痛みはどういう感じですか？飲み込むときに痛みますか？
6. 患者：はい、飲み込むとかなり痛いです。
7. 医師：他にどんな症状がありますか？
8. 患者：首のリンパ節が腫れている感じがします。
9. 医師：以前に似たようなことがありましたか？
10. 患者：特になかったと思います。
11. 医師：ご家族や同居されている方に同じような症状の方はいませんか？
12. 患者：いいえ、誰も他に症状は出ていません。
13. 医師：最近、お食事や飲み物で変わったものを口にしましたか？
14. 患者：特に変わったものは食べていません。
15. 医師：頸部リンパ節を少し触診させてください。
16. 患者：はい、どうぞ。
17. 医師：今、少し腫れていて、痛みがありますね。
18. 患者：はい、押すと痛いです。
19. 医師：体全体がだるいと感じますか？
20. 患者：そうですね、かなりだるくて動きづらいです。
21. 医師：お腹周りに違和感や痛みはありますか？
22. 患者：お腹は特に何も感じていません。
23. 医師：いつもより疲れやすいと感じますか？
24. 患者：普段はもっと活動的なんですが、今は疲れやすいです。
25. 医師：最近のストレスや体調の変化はありましたか？
26. 患者：特にストレスはないですけど風邪引いたかなって感じでした。
27. 医師：これまでに同じ症状で病院に行ったことはありますか？
28. 患者：初めて病院に来ました。
29. 医師：特に鼻水やせきなどは出ていませんか？
30. 患者：喉の痛みと熱だけで、そういうのはあまりないです。
31. 医師：このような症状が続くと心配ですね。
32. 患者：喉が特に痛いのが辛いです。
33. 医師：体温は今も高いままですか？
34. 患者：たぶんそうですね、まだ高い感じがします。
35. 医師：最近、特別仲の良い方に接触が多かったとかありますか？
36. 患者：はい、友達とはよく遊びました。
37. 医師：以前に口内の感染症などにかかったことはありませんか？
38. 患者：あまり記憶にないです。
39. 医師：実はリンパ節腫脹やこの症状の原因として、ウイルス感染が考えられます。
40. 患者：そうなんですね。
41. 医師：血液検査を行いましょう。結果によっては感染の確認ができるかもしれません。
42. 患者：分かりました。
43. 医師：全身倦怠感も強いので、無理はしないようにしてください。
44. 患者：ありがとうございます。
45. 医師：検査結果によりますが、必要があれば別の症状の人にいわゆる伝染性単核球症かも知れません。
46. 患者：そんなことがあるんですね。
47. 医師：感染が確認された場合、主に安静と経過観察が重要です。
48. 患者：安静にしているということですね。
49. 医師：急激な運動などは避けてください。痛みには適切な鎮痛剤を使いましょう。
50. 患者：はい、気をつけます。"
